,0,1,accuracy,macro avg,weighted avg
Logistic Regression_tuned,"{'precision': 0.8505535055350554, 'recall': 0.8908212560386474, 'f1-score': 0.8702218027371401, 'support': 1035.0}","{'precision': 0.6523076923076923, 'recall': 0.5668449197860963, 'f1-score': 0.6065808297567955, 'support': 374.0}",0.8048261178140526,"{'precision': 0.7514305989213739, 'recall': 0.7288330879123719, 'f1-score': 0.7384013162469678, 'support': 1409.0}","{'precision': 0.7979318347422706, 'recall': 0.8048261178140526, 'f1-score': 0.8002418709453383, 'support': 1409.0}"
Random Forest_tuned,"{'precision': 0.8328865058087578, 'recall': 0.9004830917874396, 'f1-score': 0.8653667595171773, 'support': 1035.0}","{'precision': 0.6448275862068965, 'recall': 0.5, 'f1-score': 0.5632530120481927, 'support': 374.0}",0.794180269694819,"{'precision': 0.7388570460078272, 'recall': 0.7002415458937198, 'f1-score': 0.7143098857826851, 'support': 1409.0}","{'precision': 0.7829688081997471, 'recall': 0.794180269694819, 'f1-score': 0.7851747498980146, 'support': 1409.0}"
XGBoost_tuned,"{'precision': 0.8289930555555556, 'recall': 0.9227053140096618, 'f1-score': 0.8733424782807498, 'support': 1035.0}","{'precision': 0.688715953307393, 'recall': 0.4732620320855615, 'f1-score': 0.5610142630744849, 'support': 374.0}",0.8034066713981547,"{'precision': 0.7588545044314743, 'recall': 0.6979836730476117, 'f1-score': 0.7171783706776174, 'support': 1409.0}","{'precision': 0.7917583953420618, 'recall': 0.8034066713981547, 'f1-score': 0.7904391763026498, 'support': 1409.0}"
